Shift JIS,ＪＩＳ,記号,PC-Talker,XP Reader,VDM,JAWS 6.2,日本語通用名称,記号の読み,文字種別,大文字／小文字,フォネティック読み,,読みの重複,
826D,234E,Ｎ,ノベンバー,ノット,ノベンバー,ノベンバー,,エヌ,ラテン文字,大文字,ノベンバー,,＊＊,ロシア文字と同じ読み
826E,234F,Ｏ,オスカ,オープン,オスカ,オスカー,,オー,ラテン文字,大文字,オープン,,＊＊,ロシア文字と同じ読み
826F,2350,Ｐ,パパ,ピンク,パパ,パパ,,ピー,ラテン文字,大文字,パパ,,,
8270,2351,Ｑ,ケベック,クワイアット,ケベック,ケベック,,キュー,ラテン文字,大文字,クエスチョン,,,
8271,2352,Ｒ,ロミオ,ライド,ロミオ,ロミオ,,アール,ラテン文字,大文字,ルーム,,,
8272,2353,Ｓ,シアラ,ソフト,シアラ,シアラ,,エス,ラテン文字,大文字,スポーツ,,＊＊,ロシア文字と同じ読み
8273,2354,Ｔ,タンゴ,タイム,タンゴ,タンゴ,,ティー,ラテン文字,大文字,タイム,,,
8274,2355,Ｕ,ユニフォーム,ユースフル,ユニフォーム,ユニフォーム,,ユー,ラテン文字,大文字,ユージュアリー,,＊＊,ロシア文字と同じ読み
8275,2356,Ｖ,ビクタ,ヴィクトリー,ビクタ,ビクタ,,ブイ,ラテン文字,大文字,ビデオ,,,
8276,2357,Ｗ,ウィスキー,ウーマン,ウィスキー,ウィスキー,,ダブリュー,ラテン文字,大文字,ウィンドウ,,,
8277,2358,Ｘ,エクスレイ,ゼロックス,エクスレイ,エックスレイ,,エックス,ラテン文字,大文字,エックスセン,,,
8278,2359,Ｙ,ヤンキー,イエロー,ヤンキ,ヤンキー,,ワイ,ラテン文字,大文字,ヤング,,,
8279,235A,Ｚ,ズル,ゼブラ,ズル,ズール,,ゼット,ラテン文字,大文字,ズー,,,
8281,2361,ａ,アルファ,エービー,アルファ,アルファ,,エイ,ラテン文字,小文字,アニマル,,＊＊,ロシア文字と同じ読み
8282,2362,ｂ,ブラボー,ボーイ,ブラボー,ブラボー,,ビー,ラテン文字,小文字,ボーイ,,,
8283,2363,ｃ,チャーリー,キャット,チャーリー,チャーリー,,シー,ラテン文字,小文字,キャット,,,
8284,2364,ｄ,デルタ,ダイ,デルタ,デルタ,,ディー,ラテン文字,小文字,デスク,,,
8285,2365,ｅ,エコー,イート,エコー,エコー,,イー,ラテン文字,小文字,エッグ,,＊＊,ロシア文字と同じ読み
8286,2366,ｆ,フォックスロット,ファイン,フォックスロット,フォックストロット,,エフ,ラテン文字,小文字,フレンド,,＊＊,ロシア文字と同じ読み
8287,2367,ｇ,ゴルフ,グッド,ゴルフ,ゴルフ,,ジー,ラテン文字,小文字,ゴルフ,,,
8288,2368,ｈ,ホテル,ホーム,ホテル,ホテル,,エイチ,ラテン文字,小文字,ホテル,,,
8289,2369,ｉ,インディア,インデックス,インディア,インディア,,アイ,ラテン文字,小文字,インク,,,
828A,236A,ｊ,ジュリエット,ジャパン,ジュリエット,ジュリエット,,ジェイ,ラテン文字,小文字,ジャパン,,,
828B,236B,ｋ,キロ,カインド,キロー,キロー,,ケイ,ラテン文字,小文字,キッチン,,,
828C,236C,ｌ,リマ,ラム,リマ,リマ,,エル,ラテン文字,小文字,ラブ,,＊＊,ロシア文字と同じ読み
828D,236D,ｍ,マイク,マックス,マイク,マイク,,エム,ラテン文字,小文字,マイク,,＊＊,ロシア文字と同じ読み
828E,236E,ｎ,ノベンバー,ノット,ノベンバー,ノベンバー,,エヌ,ラテン文字,小文字,ノベンバー,,＊＊,ロシア文字と同じ読み
828F,236F,ｏ,オスカ,オープン,オスカ,オスカー,,オー,ラテン文字,小文字,オープン,,＊＊,ロシア文字と同じ読み
8290,2370,ｐ,パパ,ピンク,パパ,パパ,,ピー,ラテン文字,小文字,パパ,,,
8291,2371,ｑ,ケベック,クワイアット,ケベック,ケベック,,キュー,ラテン文字,小文字,クエスチョン,,,
