Shift JIS,ＪＩＳ,記号,PC-Talker,XP Reader,VDM,JAWS 6.2,フォネティック読み,日本語通用名称,記号の読み,文字種別,大文字／小文字,,,読みの重複,
8.20E+05,2466,ゆ,ユミヤノユ,ユリ,ユミヤノユ,ユミヤノユ,ユカタノユ,,ユ,平仮名,,,,,
8.20E+06,2467,ょ,チイサイヨ,チイサイヨット,チイサイヨ,チイサイヨ,チイサイヨットノヨ,,チイサイヨ,平仮名,,,,,
8.20E+07,2468,よ,ヨシノノヨ,ヨット,ヨシノノヨ,ヨシノノヨ,ヨットノヨ,,ヨ,平仮名,,,,,
8.20E+08,2469,ら,ラジオノラ,ラジオ,ラジオノラ,ラジオノラ,ラジオノラ,,ラ,平仮名,,,,,
8.20E+09,246A,り,リンゴノリ,リス,リンゴノリ,リンゴノリ,リンゴノリ,,リ,平仮名,,,,,
8.20E+10,246B,る,ルスバンノル,ルビー,ルスバンノル,ルスイノル,ルスバンノル,,ル,平仮名,,,,,
82EA,246C,れ,レモンノレ,レキシ,レモンノレ,レンゲノレ,レモンノレ,,レ,平仮名,,,,,
82EB,246D,ろ,ローマノロ,ロンドン,ローマノロ,ローマノロ,ロウカノロ,,ロ,平仮名,,,,,
82EC,246E,ゎ,チイサイワ,チイサイワイン,チイサイワ,チイサイワ,チイサイワカメノワ,,チイサイワ,平仮名,,,,,
82ED,246F,わ,ワラビノワ,ワイン,ワラビノワ,ワラビノワ,ワカメノワ,,ワ,平仮名,,,,,
82EE,2470,ゐ,ムカシノイ,ワギョウノイ,ムカシノイ,イドノイ,ムカシノイ,,イ,平仮名,,,,＊＊,い、と同じ読み
82EF,2471,ゑ,ムカシノエ,ワギョウノエ,ムカシノエ,カギノアルエ,ムカシノエ,,エ,平仮名,,,,＊＊,え、と同じ読み
82F0,2472,を,ヲワリノヲ,ワギョウノヲ,ヲワリノヲ,ヲワリノヲ,ヲワリノヲ,,オ,平仮名,,,,＊＊,お、と同じ読み
