漢字,田町読み（新しい詳細読み）　ひらがな・漢字
雇,やとう，こようするのこ
顧,こもんのこ，かえりみる
鼓,たいこのこ，つづみ
五,かんすうじのご
互,ごかくのご，たがい
伍,らくごするのご，にんべんにかんすうじのご
午,しょうごのご
呉,ごふくやのご，くれ
吾,われ，ご，かんすうじのごのしたにくち
娯,ごらくのご
後,うしろ，ぜんごのご
御,おんちゅうのおん，ごはんのご
悟,さとる，かくごのご
梧,ご，きへんにわれ，あおぎり
檎,りんごのご
瑚,さんごしょうのご
碁,ごいしのご
語,こくごのご，かたる
誤,ごかいするのご，あやまり
護,ほごしゃのご
醐,だいごみのご
乞,こう，あまごいするのこう
鯉,こいのぼりのこい
交,こうつうのこう，まじわる
佼,にんべんにまじわるのこう
侯,おうこうきぞくのこう
候,りっこうほのこう
倖,ぎょうこうのこう，にんべんにさち
光,ひかり，にっこうのこう
公,しゅじんこうのこう，おおやけ
功,ふせいこうのこう
効,こうかてきのこう
勾,きゅうこうばいのこう
厚,あつがみのあつ
口,くちぶえのくち，こう
向,こうじょうするのこう，むかう
后,こうごうのごう，きさき
喉,のどぼとけののど，こう
坑,たんこうのこう，あな
垢,てあかのあか，こう
好,だいすきのすき，こう
孔,こうしもうしのこう
孝,おやふこうのこう
宏,うかんむりになむのこう
工,ずこうのこう
巧,ぎこうてきなのこう，たくみ
巷,ちまたのこえのちまた，こう
幸,こうふくのこう，しあわせ
広,ひろばのひろ，こう
庚,こうしんづかのこう，かのえ
康,けんこうのこう，いえやすのやす
弘,こうぼうたいしのこう，ひろい
恒,こうおんどうぶつのこう，つねに
慌,あわてる，きょうこうのこう
抗,ていこうするのこう
拘,こうそくじかんのこう
控,こうじょするのこう，ひかえる
攻,こうげきのこう，せめる
昂,げきこうするのこう
晃,にちようびのにちのしたにひかり，あきら
更,へんこうのこう，さらに
杭,くいをうつのくい
校,がっこうのこう
梗,のうこうそくのこう
構,こうぞうのこう，かまえる
江,えどじだいのえ
洪,こうずいのこう
浩,こうぜんのこう，さんずいにつげる
港,くうこうのこう，みなと
溝,みぞ，はいすいこうのこう
甲,こうおつのこう
皇,こうたいしのこう
硬,ひゃくえんこうかのこう，かたい
稿,げんこうようしのこう
糠,ぬかづけのぬか
紅,こうちゃのこう，べに
紘,はっこういちうのこう
絞,しぼる，こうしゅけいのこう
綱,つなひきのつな，こう
耕,たがやす，のうこうのこう
考,かんがえる，さんこうしょのこう
肯,こうていひていのこう
肱,ここうのしんのこう，ひじ
腔,こうくうげかのくう，にくづきにそら
膏,なんこうをぬるのこう
航,こうくうきのこう
荒,あれる，こうやのこう
行,りょこうのこう，いく
衡,へいこうかんかくのこう
講,こうしゅうかいのこう
貢,しゃかいこうけんするのこう，みつぐ
購,こうにゅうするのこう
郊,とうきょうきんこうのこう
酵,こうぼきんのこう
鉱,てっこうせきのこう
砿,いしへんにひろいのこう
鋼,こうてつのこう，はがね
閤,たいこうきのこう
降,ゆきがふるのふる，こう
項,こうもくのこう，きょうつうこうのこう
香,こうしんりょうのこう，かおり
高,たかい，さいこうのこう
鴻,こうこくのこころざしのこう，おおとり
剛,しつじつごうけんのごう
劫,みらいえいごうのごう
号,ばんごうのごう
合,ごうかくのごう，あう
壕,ぼうくうごうのごう
拷,ごうもんするのごう
濠,ごう，さんずいにごうかいなのごう
豪,ごうかいなのごう
轟,ごうおんのごう，とどろく
麹,こうじきんのこうじ
克,こくふくするのこく，かつ
刻,じこくのこく，きざむ
告,こうこくのこく，つげる
国,こくごのこく，くに
穀,こくもつのこく
酷,ざんこくのこく，ひどい
鵠,こうこくのこころざしのこく
黒,こくばんのこく，くろ
獄,じごくのごく
漉,ちゃこしのこす
腰,ようつうのよう，こし
甑,ものをむすこしき
忽,こつぜんのこつ，たちまち
惚,ほれる，こうこつのこつ
骨,がいこつのこつ，ほね
狛,こまいぬのこま，けものへんにしろ
込,もうしこむのこむ
此,ひがんしがんのし，この
頃,ころあいのころ
今,こんげつのこん，いま
困,こんなんのこん，こまる
坤,けんこんのこん，つちへんにもうす
墾,かいこんちのこん
婚,けっこんするのこん
恨,うらみ，つうこんのこん
懇,こんしんかいのこん，ねんごろ
昏,こんすいするのこん
昆,こんちゅうのこん
根,だいこんのこん，ね
