漢字,田町読み（新しい詳細読み）　ひらがな・漢字
芒,ボウ，草冠に亡命するのボウ
芫,ゲン，草冠に元気なのゲン
芟,サン，草冠にるまた
芻,スウ，反芻動物のスウ
芬,悪臭芬々のフン
苡,イ，草冠に以上以下のイ
苣,キョ，草冠に巨大なのキョ
苟,苟も，草冠に俳句のク
苒,ゼン，再びの一画目の代わりに草冠
苴,ショ，草冠に組の旁
苳,トウ，草冠に冬休みのふゆ
苺,果物のイチゴ，草冠に母
莓,果物のイチゴ，草冠に毎日のマイ
范,ハン，草冠に川が氾濫するのハン
苻,フ，草冠に付録のフ
苹,ヘイ，草冠に平凡なのヘイ
苞,ホウ，草冠に包む
茆,ボウ，草冠に十二支の卯
苜,モク，草冠に目的のモク
茉,マツ，草冠に年末のマツ
苙,リュウ，草冠に独立のリツ
茵,イン，草冠に因果応報のイン
茴,茴香のウイ，草冠に回数券のカイ
茖,カク，草冠に各
茲,シ，草冠に糸頭二つ
茱,シュ，草冠に朱色のシュ
荀,ジュン，草冠に下旬のジュン
茹,ジョ，茹でる，草冠に突如のジョ
荐,セン，草冠に存在するのソン
荅,トウ，草冠に合格のゴウ
茯,茯苓のブク，草冠に起伏に富むのフク
茫,茫然自失のボウ，草冠に三水に亡命するのボウ
茗,茗荷のミョウ，草冠に名前のナ
茘,果物の茘枝のレイ，草冠に刀が三つ
莅,リ，草冠に単位のイ
莚,エン，むしろ，草冠に延期するのエン
莪,ガ，草冠に我慢のガ
莟,カン，草冠に含める
莢,キョウ，豆の莢（さや）
莖,地下茎のケイの旧字
茣,茣蓙のゴ，草冠に呉服屋のゴの旧字形
莎,サ，草冠のご無沙汰のサ
莇,ショ，草冠に救助するのジョ
莊,別荘地のソウの異体字
荼,荼毘に付すのダ
莵,ト，草冠に兔の異体字
荳,トウ，まめ，草冠に豆餅のまめ
荵,ニン，草冠に忍者のニン
莠,ユウ，草冠に秀でる
莉,リ，草冠に利益のリ
莨,ロウ，たばこ，草冠に改良するのリョウ
菴,アン，いおり，草冠に気息奄々のエン
萓,ギ，草冠に便宜のギ
菫,植物のすみれ
菎,コン，草冠に昆虫のコン
菽,シュク，草冠に淑女のシュクの旁
萃,スイ，草冠に卒業のソツ
菘,すずな，草冠に松の木のマツ
萋,セイ，草冠に愛妻家のサイ
菁,セイ，かぶ，草冠に青春のセイの旧字体
菷,ソウ，ほうき，草冠に掃除機のソウの旁
萇,チョウ，草冠に長男のチョウ
菠,ハ，草冠に波長が合うのハ
菲,ヒ，草冠に非常口のヒ
萍,ヘイ，草冠に三水に平和のヘイ
萢,ヤチ，草冠に泡立てるのあわ
萠,萌芽のホウ，萌えるの異体字
莽,草莽の臣のモウ
萸,ユ，草冠に須臾の間のユ
蔆,菱形のひしの異体字
菻,リン，草冠に雑木林のはやし
葭,カ，あし，草冠に暇潰しのひまの旁
萪,カ，草冠に教科書のカ
萼,植物の花のガク
蕚,植物の花のガクの異体字
蒄,カン，草冠に月桂冠のカン
葷,葷酒山門に入るを許さずのクン
葫,コ，草冠に湖の旁
蒭,スウ，草冠に反芻するのスウ
葮,タン，草冠に手段のダン
蒂,タイ，草冠に帝王のテイ
葩,ハ，草冠に白いの右に巴（ともえ）
葆,ホウ，草冠に保安のホ
萬,万年筆のマン，よろずの旧字
葯,ヤク，草冠に約束のヤク
葹,シ，草冠に施す
萵,ワ，草冠に鍋の旁
蓊,オウ，草冠に翁（おきな）
葢,蓋の異体字，草冠に太いに皿
蒹,ケン，草冠に兼ねる
蒿,コウ，草冠に高い低いの高い
蒟,蒟蒻の一文字目，草冠に独立のドク，その右に俳句のク
蓙,茣蓙のザ，草冠に銀座のザ
蓍,シ，草冠に鰭の旁
蒻,蒟蒻のニャク
蓚,シュウ，草冠に修理するのシュウ
蓐,ジョク，草冠に侮辱するのジョク
蓁,シン，草冠に秦の始皇帝のシン
蓆,セキ，草冠に座席のセキ
蓖,蓖麻子油のヒ
蒡,金平牛蒡のボウ
蔡,サイ，草冠に祝祭日のサイ
蓿,シュク，草冠に宿題のシュク
蓴,蓴菜のジュン
蔗,蔗糖のショ，草冠に庶民のショ
蔘,シン，草冠に参議院のサンの旧字
蔬,蔬菜類のソ
蔟,ソク，草冠に水族館のゾク
蔕,タイ，草冠に帯の旧字
蔔,ホク，草冠に匍匐前進のフク
蓼,蓼食う虫も好きずきのたで
蕀,キョク，草冠に棘皮動物のキョク
蕣,シュン，草冠に尭舜のシュン
蕘,ジョウ，草冠に尭舜のギョウの旧字
蕈,シン，草冠に西の下に早起きの早い
蕁,蕁麻疹のジン
蘂,雌蕊のしべ，ズイの異体字，草冠に心三つに樹木のモク
蕋,雌蕊のしべ，ズイの異体字，草冠に止血するのシ三つ
蕕,ゆう，草冠に猶予するのユウ
薀,蘊蓄を傾けるのウン，三水
薤,らっきょう
薈,ワイ，草冠に会社員のカイの旧字
薑,キョウ，草冠に橿原神宮のかしの旁
薊,植物のあざみ
薨,薨去するのコウ，みまかる
蕭,ショウ，草冠に厳粛なのシュクの旧字
薔,ショウ，薔薇色の薔薇の一文字目
薛,カワラヨモギを意味するセツ
藪,やぶ，ソウ
薇,ビ，薔薇色の薔薇の二文字目
薜,ヘイ，草冠に壁の上側
蕷,ヨ，草冠に預ける
蕾,つぼみ，ライ，草冠に雷
薐,リョウ，草冠に山の稜線のリョウ
藉,セキ，狼藉者のセキ
薺,七草のナズナ，セイ
藏,冷蔵庫のゾウの異体字
薹,ダイ，薹が立つのトウ
藐,バク，草冠に若さと美貌のボウ
藕,グウ，草冠にすき偏に偶然のグウの旁
藝,芸術のゲイの旧字
藥,薬の旧字
藜,あかざ，レイ
藹,和気藹藹のアイ
蘊,蘊蓄を傾けるのウン，糸偏
蘓,蘇生のソの異体字，草冠にノ木偏に魚
蘋,ヒン，草冠に頻繁なのヒンの旧字
藾,ライ，草冠に依頼するのライの旧字
藺,藺草のイ，リン
蘆,あし，草冠に櫨の木のはぜの旁
蘢,ロウ，草冠に恐竜のリュウの旧字
蘚,セン，こけ，草冠に新鮮なのセン
蘰,かずら，草冠に糸偏に鰻の旁
蘿,ラ，草冠に網羅するのラ
虍,コ，部首の虎頭
乕,動物の虎の異体字
虔,敬虔な祈りのケン
號,番号のゴウの旧字
虧,キ，虎頭に隹，右に汚染するのオの旁
虱,シラミ，風の一画目を取ったもの
蚓,イン，みみず，虫偏に引力のイン
蚣,コウ，虫偏に公（おおやけ）
蚩,愚かを意味するシ
蚪,トウ，虫偏に北斗七星のト
蚋,ゼイ，虫偏に国内のナイ
蚌,鷸蚌の争いのボウ
蚶,カン，虫偏に甘い
蚯,キュウ，虫偏に砂丘のキュウ
蛄,鮨ネタの蝦蛄のコ
蛆,蛆虫のうじ，ショ
蚰,ユウ，虫偏に理由のユウ
蛉,蜻蛉の二文字目，レイ，虫偏に命令するのレイ
蠣,かき，虫偏に激励するのレイの旧字の左側
蚫,アワビ，虫偏に包む
蛔,カイ，虫偏に回数券のカイ
蛞,蛞蝓の一文字目，虫偏に舌を噛むのした
蛩,キョウ，恐竜のキョウの心の代わりに虫
蛬,キョウ，共通するのキョウの下に虫
蛟,コウ，みずち，虫偏に交わる
蛛,クモ，虫偏に朱色のシュ
蛯,えび，虫偏に老人のロウ
蜒,エン，虫偏に延長するのエン
蜆,しじみ，ケン
蜈,ゴ，虫偏に呉服屋のゴの旧字形
蜀,三国志の蜀
蜃,蜃気楼のシン
蛻,蛻の殻のもぬけ
蜑,タン，延長するのエンの下に虫
蜉,フ，虫偏に爪の下に子供の子
蜍,ジョ，虫偏に余り
蛹,虫のさなぎ，ヨウ
蜊,貝のアサリ，虫偏に権利のリ
蜴,エキ，虫偏に貿易風のエキ
蜿,エン，虫偏に宛名のあて
蜷,にな，虫偏に海苔巻きのマキの旧字
蜻,蜻蛉の一文字目，セイ，虫偏に青の旧字形
蜥,セキ，虫偏に分析するのセキ
蜩,ヒグラシ，虫偏に周辺のシュウ
蜚,蜚_の一文字目，非常口のヒの下に虫
蝠,コウモリの二文字目，虫偏に副会長のフクの左側
蝟,イ，虫偏に胃袋のイ
蝸,カタツムリの蝸牛のカ
蝌,カ，虫偏に教科書のカ
蝎,蛇蝎のごとく嫌うのカツ，虫偏に褐色のカツ
蝴,コ，虫偏に黒胡椒のコ
蝗,コウ，いなご，虫偏に皇太子のコウ
蝨,しらみ
蝮,蛇のマムシ，フク
蝙,蝙蝠の一文字目，虫偏に扁平足のヘン
蝓,蛞蝓の二文字目，虫偏に楡の木のニレの旁
蝣,ユウ，遊ぶのしんにょうの代わりに虫偏
蝪,トウ，虫偏に場所のバの旁
蠅,虫のハエ
螢,ほたる，蛍光灯のケイの旧字
螟,メイ，虫偏に冥福を祈るのメイ
螂,カマキリを意味する蟷螂のロウ，虫偏に桃太郎のロウ
螯,ゴウ，傲慢なのゴウの旁の下に虫
蟋,蟋蟀の一文字目，虫偏にノ米の下に心
螽,シュウ，季節の冬の下に虫二つ
蟀,蟋蟀の一文字目，虫偏に卒業のソツ
蟐,あかがえる，虫偏に非常口のジョウ
雖,いえども
螫,セキ，恩赦を与えるのシャの下に虫
蟄,啓蟄のチツ
螳,カマキリを意味する蟷螂のトウ，虫偏に公会堂のドウ
蟇,がまがえる，バク
蟆,がまがえる，バクの異体字
螻,ロウ，虫の螻蛄（ケラ）の一文字目
蟯,蟯虫のギョウ
蟲,むし，昆虫のチュウの旧字
蟠,わだかまる，ハン，虫偏に番号のバン
蠏,蟹の異体字，虫偏に解決するのカイ
蠍,さそり
蟾,セン，虫偏に担任のタンの旧字の旁
蟶,蟶貝のまて，虫偏に聖（ひじり）
蟷,カマキリを意味する蟷螂のトウ，虫偏に弁当のトウの旧字
蠎,うわばみを意味するボウ，草冠に奔走するのホン
蟒,うわばみを意味するボウ，草冠に草莽の臣のモウ
蠑,エイ，虫偏に栄えるの旧字
蠖,カク，虫偏に獲得するのカクの旁
蠕,蠕動運動のゼン
蠢,蠢く，シュン
蠡,レイ，ケイ頭に豕（いのこ），その下に虫二つ
蠱,蠱惑するのコ，虫三つの下に皿
蠶,養蚕のサン，かいこの旧字
蠹,本に付く虫の蠧魚のトの異体字
蠧,本に付く虫の蠧魚のト
蠻,南蛮貿易のバンの旧字
衄,ジク，血編に十二支の丑
衂,ジク，血編に刃の異体字
衒,奇を衒うのてらう，ゲン
衙,役所を意味する官衙のガ
衞,衛生的のエイの旧字
衢,ちまたを意味する街衢のク
衫,サン，衣偏に彡旁
袁,エン，類人猿のエンの旁
衾,同衾するのキン
袞,袞竜の袖のコン
衵,ジツ，衣偏に日曜日のニチ
衽,ジン，衣偏に壬申の乱のジン
袵,ジン，衣偏に責任のニン
衲,ノウ，衣偏に国内のナイ
袂,たもと
袗,袗，衣偏に診察室の診の旁
袒,左袒するのタン，はだぬぐ
袮,ネ，衣偏に一人称のショウの旁
袙,袙，衣偏に黒白のしろ
袢,襦袢のバン
袍,ホウ，衣偏に包む
袤,ボウ，衣の間に矛盾のム
袰,ほろ，母の下に衣
袿,ケイ，衣偏に土二つ
袱,フク，卓袱台の二文字目
裃,礼服の裃（かみしも）
裄,裄丈のゆき，衣偏に旅行記のコウ
裔,末裔のエイ
裘,キュウ，かわごろも
裙,クン，衣偏に諸君のクン
裝,服装のソウの旧字
裹,カ，衣の間に効果的のカ
褂,カイ，衣偏に掛け布団のかけの旁
裼,セキ，衣偏に貿易風のエキ
裴,ハイ，非常口のヒの下に衣
裨,ヒ，衣偏に卑屈なのヒ
裲,裲，衣偏に両手の両の旧字
褄,辻褄が合うのつま
褌,ふんどし，衣偏に軍隊の軍
褊,ヘン，衣偏に扁平足のヘン
褓,ホウ，むつき，衣偏に保健室の保
襃,毀誉褒貶の褒の異体字
褞,オン，衣偏に温泉のオンの旧字の旁
褥,産褥のジョク，衣偏に侮辱のジョク
褪,色褪せるのあせる，衣偏に退屈のタイ
褫,チ，逓信省のテイの旧字のしんにょうの代わりに衣偏
襁,キョウ，衣偏に勉強のキョウ
襄,ジョウ，譲るの旧字の旁
褻,猥褻なのセツ
褶,褶曲山脈の褶，ひだ
褸,襤褸を纏うのル
襌,タン，衣偏に単純のタンの旧字
褝,タン，衣偏に単純のタン
襠,トウ，衣偏に弁当のトウの旧字
襞,ひだ，壁の土の代わりに衣
襦,襦袢のジュ
襤,襤褸を纏うのラン
襭,ケツ，衣偏に大吉のキチに頁（ページ）
襪,ベツ，衣偏に軽蔑するのベツ
襯,シン，衣偏に親子のおや
襴,金襴緞子のラン
襷,たすき
襾,エ，部首の覆い冠
覃,タン，覆い冠の下に早起きの早い
覈,ガク，覆い冠に激励するのゲキの旁
覊,羈縻政策のキの異体字
覓,ベキ，爪の下に見物するのケン
覘,テン，独占するのセンの右に見物するのケン
覡,ケキ，神社の巫女のフの右に見物するのケン
覩,ト，科物者の者の旧字体の右に見物するのケン
覦,ユ，楡の木のにれの右に見物するのケン
覬,キ，凱旋門のガイの右に見物するのケン
覯,コウ，溝の旁の右に見物するのケン
覲,キン，勤務のキンの旧字体の力の代わりに見物するのケン
覺,感覚のカク，おぼえるの旧字
覽,博覧会のランの旧字
覿,効果覿面のテキ
觀,観客のカン，みるの旧字
觚,コ，角偏に瓜
觜,くちばし，シ，彼岸此岸のシの下に角
觝,テイ，角偏に抵抗するのテイの旁
觧,カイ，角偏に羊
觴,ショウ，角偏に切り傷のきずの旁
觸,接触するのショク，ふれるの旧字
訃,訃報を聞くのフ
訖,キツ，言偏に雨乞いのこう
訐,ケツ，言偏に干す
訌,コウ，言偏に図画工作のコウ
訛,お国訛りのなまり，カ
訝,怪訝な顔のゲン，いぶかる
訥,木訥のトツ
訶,摩訶不思議のカ
詁,訓詁学のコ，言偏に中古車のコ
詛,呪詛のソ，言偏に尚且つのかつ
詒,タイ，言偏に台所のダイ
詆,テイ，言偏に抵抗するのテイの旁
詈,罵詈雑言のリ
詼,カイ，言偏に灰色のハイの旧字体
詭,詭弁を弄するのキ
詬,コウ，言偏に皇后陛下のゴウ
詢,ジュン，言偏に下旬のジュン
誅,天誅を加えるのチュウ
誂,あつらえる，チョウ
誄,ルイ，言偏に耒
誨,カイ，言偏に毎日のマイ
誡,カイ，言偏に戒める
誑,たぶらかす，キョウ
誥,コウ，言偏に告げる
誦,詩を暗誦するのショウ
誚,ショウ，言偏に肖像画のショウ
誣,誣告罪のブ
諄,ジュン，言偏に享楽的のキョウ
諍,いさかい，ソウ
諂,へつらう，テン
諚,ジョウ，言偏に定める
諫,いさめる，カン
諳,そらんずる，アン
諧,諧謔のカイ
諤,侃々諤々のガク
諱,いみな，言偏に偉大なのイの旁
謔,諧謔のギャク
諠,ケン，言偏に宣伝するのセン
諢,コン，言偏に軍隊のグン
諷,諷刺のフウ，言偏に風
諞,ヘン，言偏に扁平足のヘン
諛,ユ，言偏に須臾の間のユ
謌,うた，カ，言偏に可能性のカを重ねる
謇,ケン，寒いの下二点の代わりに言偏
謚,おくりな，諡号のシの異体字
諡,おくりな，諡号のシ
謖,泣いて馬謖を斬るのショク
謐,静謐なのヒツ
謗,誹謗するのボウ，そしる
謠,民謡のヨウの旧字
謳,青春を謳歌するのオウ
鞫,キク，革偏に包み構えの中に言偏
謦,謦咳に接するのケイ
謫,タク，言偏に摘発するのテキの旁
謾,マン，言偏に鰻の旁
謨,ボ，言偏に莫大なのバク
譁,カ，言偏に中華鍋の華
譌,お国訛りのなまりの異体字
譏,キ，言偏に幾何学のキ
譎,ケツ，言偏に橘（たちばな）の旁
證,ショウ，証明書のショウの旧字
譖,シン，言偏に僭越ながらのセンの旁
譛,シン，言偏に振り替えのかえ
譚,タン，言偏に西の下に早起きの早い
譫,譫妄状態のセン
譟,ソウ，言偏に操縦するのソウの旁
譬,譬え話のたとえ，ヒ
譯,通訳するのヤク，訳（わけ）の旧字
譴,譴責処分のケン，せめる
譽,名誉のヨ，ほまれの旧字
讀,読書のドク，よむの旧字
讌,エン，言偏に燕
讎,復讐するのシュウ，あだの異体字
讒,讒言するのザン，そしる
讓,譲歩するのジョウ，ゆずるの旧字
讖,予言を意味する言偏のシン
讙,カン，言偏に灌漑用水のカンの旁
讚,言偏の付いた讃美歌のサンの異体字
谺,カ，こだま，谷偏に牙
豁,豁然と悟るのカツ
谿,ケイ，渓流釣りのケイの旧字の旁の右に谷
豈,豈図らんやのあに
豌,豌豆豆のエン
豎,ジュ，堅実なのケンの土の代わりに豆
豐,豊かなの旧字
豕,シ，部首の豕（いのこ）
豢,拳の手の代わりに豕（いのこ）
豬,チョ，豕（いのこ）の右に科学者のシャの旧字体
豸,チ，部首の豸（むじな）
豺,豺狼の群のサイ，やまいぬ
貂,動物の貂（てん）
貉,豸編の動物の貉（むじな）
貅,キュウ，豸偏に休む
貊,ハク，豸偏に漢数字の百
貍,"貍,豸偏に里帰りのさと"
貎,ゲイ，豸偏に児童生徒のジの旧字
貔,勇猛な軍隊を意味する貔貅のヒ
豼,ヒ，豸偏に比較するのヒ
貘,豸偏の動物のバク
戝,山賊のゾクの異体字
貭,質問のシツの異体字
貪,貪欲のドン，むさぼる
貽,貽鮨のイ，貝偏に台所のダイ
貲,シ，彼岸此岸のシの下に貝殻のかい
貳,漢数字の二，式構えに，ニの下に貝殻のかい
貮,漢数字の二の異体字，武器のブの止めるの代わりに貝殻のカイ
貶,毀誉褒貶のヘン，貶める
賈,コ，覆い頭に貝殻のかい
賁,ヒ，噴火するのフンの旁
賤,下賤なのセン，いやしい
賣,商売のバイ，うるの旧字
賚,ライ，来年のライの旧字の下に貝殻のかい
賽,賽銭箱のサイ
賺,宥め賺すのすかす
賻,フ，貝偏に博物館のハクの旁
贄,生け贄のにえ
贅,贅沢のゼイ
贊,賛成反対のサンの旧字
贇,元贇焼きのイン
贏,勝ち負けを意味する贏輸のエイ
贍,セン，貝偏に苦心惨憺のタンの旁
贐,はなむけ，ジン
齎,もたらす，セイ
贓,贓物罪のゾウ
賍,贓物罪のゾウの異体字
贔,贔屓のヒ，貝三つ
贖,贖罪のショク，あがなう
赧,顔を赤らめる意味の赧顔のタン
赭,シャ，赤色のあかの右に科学者のシャの旧字体
赱,はしる，競走のソウの異体字
赳,キュウ，走繞に叫ぶの旁
趁,チン，走繞に珍しいの旁
趙,中国の国名の趙
跂,キ，足偏に支える
趾,城址公園のシ
趺,フ，足偏に夫
跏,カ，足偏に加速度のカ
跚,酔歩蹣跚のサン，足偏に一冊二冊のサツ
跖,セキ，足偏に石
跌,人生の蹉跌のテツ
跛,ハ，足偏に毛皮のかわ
跋,跳梁跋扈のバツ
跪,跪く，キ
跫,キョウ，恐竜のキョウの心の代わりに手足のあし
跟,コン，足偏に大根のコンの旁
跣,セン，足偏に行先のさき
跼,キョク，足偏に薬局のキョク
踈,過疎地のソの異体字，足偏に約束のソク
踉,よろめく，蹌踉のロウ
跿,ト，足偏に脱走するのソウ
踝,くるぶし，カ
踞,蹲踞するのキョ，足偏に住居のキョ
踐,実践するのセンの旧字
踟,チ，足偏に県知事のチ
蹂,蹂躙するのジュウ
踵,かかと，ショウ
踰,ユ，足偏に楡の木のにれの旁
踴,おどる，舞踊のヨウの異体字，足偏に勇ましい
蹊,ケイ，足偏に渓流釣りのケイの旧字の旁
蹇,ケン，寒いの下二点の代わりに足
蹉,人生の蹉跌のサ
蹌,よろめく，蹌踉のソウ
蹐,セキ，足偏に脊髄のセキ
蹈,トウ，足偏に稲の旧字の旁
蹙,顰蹙を買うのシュク
蹤,ショウ，足偏に従事するのジュウの旧字
蹠,セキ，足偏に庶民のショ
踪,失踪事件のソウ
蹣,酔歩蹣跚のマン，足偏に満足のマンの旧字の旁
蹕,ヒツ，足偏に畢竟のヒツ
蹶,ケツ，足偏に遊牧民族の突厥のケツ
蹲,蹲踞するのソン，足偏に尊敬するのソン
蹼,ホク，足偏に打撲のボクの旁
躁,躁鬱病のソウ
躇,躊躇するのチョ
躅,チョク，足偏に三国志の蜀
躄,ヘキ，壁の土の代わりに手足のあし
躋,セイ，足偏に臍の旁
躊,躊躇するのチュウ
躓,つまずく，チ
躑,テキ，足偏に投擲競技のテキの旁
躔,テン，足偏に纏うの旁
躙,蹂躙するのリン
躪,蹂躙するのリンの異体字
躡,躡，足偏に耳三つ
躬,キュウ，身偏に弓
躰,タイ，身偏に本物のホン
軆,タイ，身偏に豊か
躱,タ，身偏に耳朶のダ
躾,しつけ，身偏に美しい
軅,やがて，身偏に鳥の雁
軈,やがて，身偏に応援するのオウの旧字
軋,軋轢のアツ
軛,くびき，車偏に厄年のヤク
軣,ゴウ，轟（とどろく）の異体字
軼,イツ，車偏に失う
軻,カ，車偏に可能性のカ
軫,シン，車偏に診察するのシンの旁
軾,ショク，車偏に入学式のシキ
輊,チ，車偏に夏至冬至のシ
輅,ロ，車偏に各自のカク
輕,軽い重いのかるいの旧字
輒,チョウ，車偏に耳に乙
輙,チョウ，車偏に受け取るのとる
輓,バン，車偏に免許のメン
輜,輜重兵のシ
輟,テツ，車偏に綴るの旁
輛,リョウ，車偏に両手のリョウの旧字
輌,リョウ，車偏に両手のリョウ
輦,鳳輦のレン，夫二つの下に車
輳,ソウ，車偏に奏でる
輻,フク，車偏に祝福のフクの旁
輹,フク，車偏に往復するのフクの旁
轅,エン，ながえ，車偏に類人猿のエンの旁
轂,こしき，穀物のコクの禾の代わりに車
輾,テン，車偏に発展のテン
轌,そり，車偏に雪
轉,運転するのテンの旧字
轆,轆轤のロク
轎,キョウ，車偏に歩道橋のキョウの旁
轗,カン，車偏に感想文のカン
轜,ジュ，車偏に必需品のジュ
轢,軋轢のレキ
轣,轣，車偏に歴史家のレキ
轤,轆轤のロ
辜,無辜のコ，中古車のコの下に辛い
辟,辟易するのヘキ
辣,辣腕のラツ
辭,国語辞典のジの旧字
辯,弁護士のベンの旧字，辛い二つの間に言語のゲン
辷,之繞に漢数字の一，すべる
迚,とても，之繞に中学のチュウ
迥,ケイ，之繞に炯眼の士のケイの旁
迢,チョウ，之繞に超能力のチョウの旁
迪,テキ，之繞に理由のユウ
迯,にげる，逃亡するのトウの異体字
邇,ジ，之繞に率爾ながらのジ
迴,カイ，之繞に回数券のカイ
逅,巡り会いの邂逅のコウ
迹,セキ，之繞に足跡を遺すのセキの旁
迺,ナイ，之繞に西東のにし
逑,キュウ，之繞に求める
逕,ケイ，之繞に頸動脈のケイの左側
逡,逡巡するのシュン
逍,散歩を意味する逍遥のショウ
逞,逞しい，テイ
逖,テキ，之繞に夷狄のテキ
逋,ホ，之繞に詩人の杜甫のホ
逧,サコ，之繞に谷
逶,イ，之繞に学級委員のイ
逵,キ，之繞に陸上のリクの旁
逹,配達のタツの異体字
迸,ほとばしる，ホウ
遏,アツ，之繞に褐色のカツの旁
遐,カ，之繞に暇潰しのひまの旁
遑,コウ，之繞に皇太子のコウ
遒,シュウ，之繞に酋長さんのシュウ
逎,シュウ，之繞に十二支の酉（とり）
遉,テイ，之繞に貞淑なのテイ
逾,ユ，之繞に楡の木のにれの旁
遖,あっぱれ，之繞に南（みなみ）
遘,コウ，之繞に溝の旁
遞,逓信省のテイの旧字
遨,ゴウ，之繞に傲慢なのゴウの旁
遯,トン，之繞に豚汁のトン
遶,ジョウ，之繞に尭舜のギョウの旧字
隨,随筆のズイの旧字
遲,遅刻するのチ，遅いの旧字
邂,巡り会う意味の邂逅のカイ
遽,急遽帰宅するのキョ
邁,邁進するのマイ
邀,ヨウ，之繞に激励するのゲキの旁
邊,周辺のヘン，あたりの旧字
邉,周辺のヘン，あたりの旧字の異体字
邏,警邏するのラ
邨,むら，市町村のソンの異体字
邯,邯鄲の夢のカン
邱,キュウ，砂丘のキュウの右におおざと
邵,ショウ，招くの旁の右におおざと
郢,エイ，贈呈するのテイの右におおざと
郤,ケキ，谷の右におおざと
扈,跳梁跋扈のコ
郛,フ，爪の下に子供の子の右におおざと
鄂,ガク，鰐の旁の右におおざと
鄒,スウ，趨勢のスウの旁の右におおざと
鄙,辺鄙なのヒ，ひな
鄲,邯鄲の夢のタン
鄰,となり，隣人のリンの異体字
酊,酩酊するのテイ
酖,タン，十二支の酉の右に沈むの旁
酘,トウ，十二支の酉の右にル又
酣,カン，十二支の酉の右に甘い
酥,ソ，十二支の酉の右に禾偏ののぎ
酩,酩酊するのメイ
酳,イン，十二支の酉の右に糸頭に月
酲,テイ，十二支の酉の右に贈呈するのテイ
醋,サク，十二支の酉の右に昔
醉,泥酔するのスイの旧字
醂,味醂のリン，十二支の酉の右に林
醢,カイ，十二支の酉の右に右の下に皿
醫,お医者さんのイの旧字
醯,ケイ，十二支の酉の右に流れるの旁の下に皿
醪,もろみ，ロウ
醵,醵金のキョ，十二支の酉の右に劇団のゲキの左側
醴,あまざけ，レイ
醺,微醺を帯びるのクン
釀,醸造するのジョウ，かもすの旧字
釁,隙間を意味する釁隙のキン
釉,釉薬のユウ，うわぐすり
釋,釈放するのシャクの旧字
釐,リ，未来のミにのぶんの下に単位の厘
釖,トウ、金偏に刀
釟,ハツ，金偏に漢数字の八
釡,釜飯のかまの異体字
釛,コク，金偏に力
釼,ケン，金偏に刃（やいば）
釵,サイ、金偏に夜叉のシャ
釶,シ，金偏に空也念仏のヤ
鈞,キン，金偏に平均のキンの旁
釿,ギン，金偏にパン1斤のキン
鈔,ショウ，金偏に多い少ないのすくない
鈬,銅鐸のタクの異体字
鈕,チュウ，金編に十二支の丑
鈑,ハン，金偏に反対するのハン
鉞,斧鉞のエツ、鉞（まさかり）
鉗,鉗子分娩のカン
鉅,キョ、金偏に巨大なのキョ
鉉,ゲン，金偏に玄米のゲン
鉤,コウ，かぎ，金偏に俳句のク
鉈,なた
銕,鉄の異体字、金偏に尊皇攘夷のイ
鈿,螺鈿のデン
鉋,大工道具の鉋（かんな）
鉐,セキ，金偏に石
銜,カン，行構えに金曜日のキン
銖,シュ，金偏に朱色のシュ
銓,セン，金偏に全国のゼン
銛,銛で突くのもり
鉚,リュウ，金偏に十二支の卯
鋏,道具の鋏（はさみ）
銹,シュウ，金偏に秀でる
銷,ショウ，金偏に肖像画のショウ
鋩,ボウ，金偏に草冠に亡命するのボウ
錏,ア，金偏に亜細亜のアの旧字
鋺,かなまり，金偏に腕の旁
鍄,リョウ，金偏に東京のキョウ
錮,禁錮刑のコ，金偏に固める
錙,シ，金偏に輜重兵のシの旁
錢,釣り銭のセンの旧字
錚,ソウ、金偏に争うの旧字
錣,テツ，金偏に綴るの旁
錺,かざり、金偏に芳香剤のホウ
錵,にえ，金偏に花火のはな
錻,錻力（ブリキ）のブ、金偏に武器のブ
鍜,カ，金偏にに暇潰しのひまの旁
鍠,コウ，金偏に皇太子のコウ
鍼,シン，鍼灸のはり
鍮,金属の真鍮のチュウ
鍖,チン，金偏に甚だしい
鎰,イツ，金偏に利益のエキ
鎬,鎬を削るのしのぎ
鎭,鎮圧するのチン，しずめるの旧字
鎔,ヨウ，金偏に容積のヨウ
鎹,子は鎹のかすがい
鏖,オウ，動物の鹿の下に金曜日のキン
鏗,コウ，金偏に堅実なのケン
鏨,工具の鏨（たがね）
鏥,シュウ，金偏に宿
鏘,ショウ，金偏に将軍のショウの旧字
鏃,弓矢の鏃（やじり）
鏝,半田鏝のこて
鏐,リョウ，金偏に膠の旁
鏈,レン，金偏に連絡のレン
鏤,鏤金のル，ちりばめる
鐚,鐚一文のびた
鐔,タン，金偏に西の下に早起きの早い
鐓,タイ，金偏に中国の敦煌のトン
鐃,ドウ，金偏に尭舜のギョウの旧字
鐇,ハン，金偏に番号のバン
鐐,リョウ，金偏に同僚のリョウの旁
鐶,カン，金偏に循環するのカンの旁
鐫,セン，金偏に隹の下に凹凸のオウの下1画を取ったもの
鐵,鉄道のテツの旧字
鐡,鉄道のテツの旧字の呈の代わりに豆の下側
鐺,トウ，金偏に弁当のトウの旧字
鑁,鑁阿寺のバン
鑒,図鑑のカンの異体字
