漢字,田町読み（新しい詳細読み）　カタカナ,田町読み（新しい詳細読み）　ひらがな
唄,ウタ，クチヘンニカイガラノカイ,うた，くちへんにかいがらのかい
欝,ユウウツナノウツ,ゆううつなのうつ
蔚,クサカンムリニリクグンタイイノイ,くさかんむりにりくぐんたいいのい
鰻,ウナギ,うなぎ
姥,ウバザクラノウバ,うばざくらのうば
厩,キュウシャノキュウ，ウマヤ,きゅうしゃのきゅう，うまや
浦,ツツウラウラノウラ,つつうらうらのうら
瓜,ウリ，スイカノカ,うり，すいかのか
閏,ウルウドシノウルウ,うるうどしのうるう
噂,ウワサバナシノウワサ,うわさばなしのうわさ
云,ウンヌンノウン，イウ,うんぬんのうん，いう
運,ウンドウノウン，ハコブ,うんどうのうん，はこぶ
雲,クモノウエノクモ，ウン,くものうえのくも，うん
荏,エゴマノエ,えごまのえ
餌,エサ，エヅケノエ,えさ，えづけのえ
叡,ヒエイザンノエイ,ひえいざんのえい
営,エイギョウノエイ，イトナム,えいぎょうのえい，いとなむ
嬰,アカンボウヲイミスルエイジノエイ,あかんぼうをいみするえいじのえい
影,エイキョウノエイ，カゲ,えいきょうのえい，かげ
映,エイガノエイ，ウツス,えいがのえい，うつす
曳,エイコウスルノエイ，ヒク,えいこうするのえい，ひく
栄,エイヨウノエイ，サカエル,えいようのえい，さかえる
永,エイキュウノエイ，ナガイ,えいきゅうのえい，ながい
泳,スイエイノエイ，オヨグ,すいえいのえい，およぐ
洩,キミツロウエイノエイ，モラス,きみつろうえいのえい，もらす
瑛,オウヘンニエイゴノエイ,おうへんにえいごのえい
盈,ミチル，エイ,みちる，えい
穎,スグレルヲイミスルエイ，ホサキ，ノギヘン,すぐれるをいみするえい，ほさき，のぎへん
頴,スグレルヲイミスルエイ，ホサキ，シメス,すぐれるをいみするえい，ほさき，しめす
英,エイユウノエイ,えいゆうのえい
衛,エイセイテキノエイ,えいせいてきのえい
詠,エイタンノエイ，ヨム,えいたんのえい，よむ
鋭,エイリナノエイ，スルドイ,えいりなのえい，するどい
液,エキタイノエキ,えきたいのえき
疫,メンエキノエキ,めんえきのえき
益,リエキノエキ,りえきのえき
駅,エキビルノエキ,えきびるのえき
悦,エツラクノエツ，ヨロコブ,えつらくのえつ，よろこぶ
謁,ハイエツスルノエツ,はいえつするのえつ
越,ユウエツカンノエツ，コス,ゆうえつかんのえつ，こす
閲,エツランスルノエツ,えつらんするのえつ
榎,エノキ，キヘンニナツ,えのき，きへんになつ
厭,エンセイカンノエン，イトウ,えんせいかんのえん，いとう
円,ヒャクエンダマノエン,ひゃくえんだまのえん
園,ドウブツエンノエン,どうぶつえんのえん
堰,エンテイノエン，セキ,えんていのえん，せき
奄,アマミオオシマノイチモジメノエン,あまみおおしまのいちもじめのえん
宴,エンカイノエン，ウタゲ,えんかいのえん，うたげ
延,エンキスルノエン，ノビル,えんきするのえん，のびる
怨,オンネンノオン，ウラミ,おんねんのおん，うらみ
掩,エンゴシャゲキノエン,えんごしゃげきのえん
援,オウエンスルノエン,おうえんするのえん
沿,エンガンノエン，ソウ,えんがんのえん，そう
演,エンソウスルノエン,えんそうするのえん
炎,エンジョウスルノエン，ホノオ,えんじょうするのえん，ほのお
焔,ホノオ，ヒヘンノホノオ,ほのお，ひへんのほのお
煙,エントツノエン，ケムリ,えんとつのえん，けむり
燕,ツバメ,つばめ
猿,ルイジンエンノエン，サル,るいじんえんのえん，さる
縁,エンガワノエン，フチ,えんがわのえん，ふち
艶,ヨウエンナノエン，ツヤ,ようえんなのえん，つや
苑,ジングウガイエンノエン,じんぐうがいえんのえん
