漢字,田町読み（新しい詳細読み）　カタカナ,田町読み（新しい詳細読み）　ひらがな
頑,ガンバルノガン,がんばるのがん
顔,カオイロノカオ，ガン,かおいろのかお，がん
願,ガンボウノガン，ネガウ,がんぼうのがん，ねがう
企,キカクノキ，クワダテル,きかくのき，くわだてる
伎,カブキノキ,かぶきのき
危,キケンノキ，アブナイ,きけんのき，あぶない
喜,キゲキノキ，ヨロコブ,きげきのき，よろこぶ
器,ガッキノキ，ウツワ,がっきのき，うつわ
基,キホンノキ，モトヅク,きほんのき，もとづく
奇,キミョウナノキ,きみょうなのき
嬉,ウレシイ，キ,うれしい，き
寄,キフスルノキ，ヨル,きふするのき，よる
岐,ブンキテンノキ,ぶんきてんのき
希,キボウノキ，マレ,きぼうのき，まれ
幾,キカガクノキ,きかがくのき
忌,イッシュウキノキ，イム,いっしゅうきのき，いむ
揮,シキスルノキ,しきするのき
机,ツクエ,つくえ
旗,コッキノキ，ハタ,こっきのき，はた
既,キトクケンノキ，スデニ,きとくけんのき，すでに
期,キタイスルノキ,きたいするのき
棋,キ，ショウギノギ,き，しょうぎのぎ
棄,ハキスルノキ，ステル,はきするのき，すてる
機,ヒコウキノキ,ひこうきのき
帰,キタクスルノキ，カエル,きたくするのき，かえる
毅,キゼントシタノキ,きぜんとしたのき
気,クウキノキ,くうきのき
汽,キテキノキ,きてきのき
畿,キンキチホウノキ,きんきちほうのき
祈,イノル，キガンスルノキ,いのる，きがんするのき
季,キセツフウノキ,きせつふうのき
稀,マレ，ノギヘンニキボウノキ,まれ，のぎへんにきぼうのき
紀,キゲンゼンノキ,きげんぜんのき
徽,キショウヲツケルノキ，シルシ,きしょうをつけるのき，しるし
規,キソクテキノキ,きそくてきのき
記,キロクノキ，シルス,きろくのき，しるす
貴,キチョウヒンノキ,きちょうひんのき
起,キリツスルノキ，オキル,きりつするのき，おきる
軌,キドウニノルノキ,きどうにのるのき
輝,カガヤク，キ,かがやく，き
飢,キガノキ，ウエル,きがのき，うえる
騎,キヘイタイノキ,きへいたいのき
鬼,オニ，キュウケツキノキ,おに，きゅうけつきのき
亀,ドウブツノカメ，キ,どうぶつのかめ，き
偽,ギゾウノギ，ニセ,ぎぞうのぎ，にせ
儀,ギシキノギ,ぎしきのぎ
妓,ゲイギノギ，オンナヘンニササエル,げいぎのぎ，おんなへんにささえる
宜,ベンギノギ，ヨロシク,べんぎのぎ，よろしく
戯,ギキョクノギ,ぎきょくのぎ
技,ギジュツノギ，ワザ,ぎじゅつのぎ，わざ
擬,モギテンノギ,もぎてんのぎ
欺,サギノギ，アザムク,さぎのぎ，あざむく
犠,ギセイシャノギ,ぎせいしゃのぎ
疑,ギモンノギ，ウタガウ,ぎもんのぎ，うたがう
祇,ギオンマツリノギ,ぎおんまつりのぎ
義,ギムノギ,ぎむのぎ
蟻,ムシノアリ，ギ,むしのあり，ぎ
誼,ヨシミヲツウズルノヨシミ，ギ,よしみをつうずるのよしみ，ぎ
議,カイギシツノギ,かいぎしつのぎ
掬,スクイナゲノスクウ,すくいなげのすくう
菊,キクニンギョウノキク,きくにんぎょうのきく
鞠,ケマリノマリ，キク,けまりのまり，きく
吉,キチトキョウノキチ，ヨシ,きちときょうのきち，よし
吃,ドモル，キツオンノキツ,どもる，きつおんのきつ
喫,キツエンスルノキツ,きつえんするのきつ
桔,キヘンニキチ，キキョウノイチモジメ,きへんにきち，ききょうのいちもじめ
橘,タチバナ，カンキツノキツ,たちばな，かんきつのきつ
