漢字,詳細読み(カタカナ),詳細読み(漢字仮名交じり),音読み,,,,,訓読み,,,,,,,,
几,キチョウメンノキ，ツクエ,几帳面のキ，つくえ,キ,,,,,つくえ,ひじかけ,,,,,,,
處,ショブンスルノショノキュウジ,処分するのショの旧字,,,,,,,,,,,,,,
凩,コガラシ,こがらし,,,,,,こがらし,,,,,,,,
凭,ヒョウ，モタレル,ヒョウ，凭れる,ヒョウ,,,,,よ（る）,もた（れる）,,,,,,,
凰,トリノホウオウノオウ,鳥の鳳凰のオウ,,,,,,,,,,,,,,
凵,ケン，ブシュノウケバコ,ケン，部首のうけばこ,,,,,,,,,,,,,,
凾,ハコダテノハコ，カンノイタイジ,函館のハコ，カンの異体字,,,,,,,,,,,,,,
刄,ハモノノハ，ヤイバノイタイジ,刃物のハ，刃（やいば）の異体字,,,,,,,,,,,,,,
刋,セン，カタカナノチノミギニリットウ,セン，片仮名のチの右にりっとう,セン,,,,,き（る）,けず（る）,,,,,,,
刔,ケツ，エグル，タスウケツノケツノツクリノミギニリットウ,ケツ，えぐる，多数決のケツの旁の右にりっとう,ケツ,,,,,えぐ（る）,,,,,,,,
刎,フンケイノマジワリノフン,刎頸の交わりのフン,フン,ブン,,,,は（ねる）,くびは（ねる）,,,,,,,
刧,ミライエイゴウノゴウノイタイジ,未来永劫のゴウの異体字,,,,,,,,,,,,,,
刪,サン，ケズル，イッサツニサツノサツノミギニリットウ,サン，けずる，一冊二冊のサツの右にりっとう,サン,,,,,けず（る）,えら（ぶ）,,,,,,,
刮,カツモクスルノカツ,刮目するのカツ,カツ,,,,,けず（る）,こす（る）,こそ（げる）,,,,,,
刳,クリヌクノクル，コ,刳り貫くのくる，コ,コ,,,,,えぐ（る）,く（る）,さ（く）,,,,,,
刹,セツナテキナノナ,刹那的なのナ,セツ,サツ,,,,てら,,,,,,,,
剏,ソウ，ヘイヨウスルノヘイノツクリニヤイバノイタイジ,ソウ，併用するのヘイに刃の異体字,ソウ,ショウ,,,,はじ（める）,そこ（なう）,,,,,,,
剄,ケイドウミャクノケイノヒダリガワニリットウ,頸動脈のケイの左側にりっとう,ケイ,,,,,くびき（る）,,,,,,,,
剋,ゲコクジョウノコク，コクフクスルノコクニリットウ,下剋上のコク，克服するのコクにりっとう,コク,,,,,か（つ）,きざ（む）,き（める）,きび（しい）,,,,,
剌,ハツラツノラツ,溌剌のラツ,ラツ,,,,,もと（る）,そむ（く）,,,,,,,
剞,キ，キミョウナノキニリットウ,キ，奇妙なのキにりっとう,キ,,,,,きざ（む）,ほ（る）,,,,,,,
